Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,Final Relevance,,Prerna ,Ojasvi ,Urvi,Himanshu,Final Rank 
,,,,,,,,,,,
https://www.ndtv.com/topic/delhi-metro-fare,1,1,1,1,1,,4,10,5,5,5
http://indianexpress.com/article/what-is/what-is-delhi-metro-fare-hike-here-are-the-new-fares-ticket-prices-4647046/,1,1,1,1,1,,2,9,1,2,2
http://www.livemint.com/Politics/nlvdNvdr1EiMmyp9WV2hMK/Delhi-Metro-hikes-fares-Minimum-ticket-price-at-Rs10.html,1,1,1,1,1,,6,8,7,8,7
https://www.hindustantimes.com/delhi-news/delhi-metro-fares-set-to-go-up-this-week-minimum-ticket-price-rs-10-and-maximum-rs-50/story-lH0wh4B136dp9ex9CGUYCM.html,1,1,0,1,1,,7,7,6,6,6
http://www.delhimetrofare.in/,1,1,1,1,1,,3,6,3,1,3
http://www.delhimetrorail.com/metro-fares.aspx,1,1,1,0,1,,5,5,4,4,4
https://delhimetrorail.info/delhi-metro-fare,0,1,1,1,1,,1,4,2,3,1
https://en.wikipedia.org/wiki/Delhi,0,0,1,0,0,,10,3,8,7,8
https://en.wikipedia.org/wiki/New_Delhi,0,0,0,0,0,,9,2,9,9,9
https://play.google.com/store/apps/details%3Fid%3Dcom.tilzmatictech.mobile.navigation.delhimetronavigator%26hl%3Des&sa=U&ved=0ahUKEwiGhv_BzuPZAhUFNJQKHV7YAJ8QFghIMAo&usg=AOvVaw1LT73XW_en3l7pkFY92-a_,0,0,0,0,0,,8,1,10,10,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",0,0,0,0,0,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",0,0,0,0,0,,,,,,
"1,5",0,0,0,0,0,,,,,,
"1,6",0,0,0,0,0,,,,,,
"1,7",0,0,0,0,0,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",1,1,1,1,1,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",0,0,0,0,0,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",0,0,0,0,0,,,,,,
"3,6",0,0,0,0,0,,,,,,
"3,7",0,0,0,0,0,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",0,0,0,0,0,,,,,,
"4,6",0,0,0,0,0,,,,,,
"4,7",0,0,0,0,0,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",0,0,0,0,0,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",1,1,1,1,1,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",1,1,1,1,1,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
delhi metro map : 2nd query,,,,,,,,,,,
,,,,,,,,,,,
https://www.mapsofindia.com/maps/delhi/delhi-metro-stations-map.html,1,1,1,1,1,,3,10,2,3,3
https://www.mapsofindia.com/maps/delhi/delhi-metro-map.html,1,1,1,1,1,,1,9,3,2,2
http://www.delhimetrorail.com/OtherDocuments/Route_Map.pdf,1,1,1,1,1,,2,1,8,1,1
https://store.mapsofindia.com/digital-maps/city-maps/india/delhi-metro-map,1,1,1,1,1,,5,7,4,7,4
http://www.baidu.com/link?url=ZisgFrZurejo5pkxSzgOuFWRQcJ3h0_wWaf55vsTlK6iUqeoh2o8zunQIERHUug9gCY35UikU6cILIiUphdE5sBxyozhw0tbnaRi0uUcaXZqHQXPnyln_nE6qS5XLqtA04yqv5HAJX5HY3PT6n6wKq,1,1,1,1,1,,4,5,5,5,5
https://play.google.com/store/apps/details?id=dehli.subway.map,1,0,0,0,0,,10,6,7,10,10
